shipment_id,entry_no,hs_code,product_desc,supplier,country_origin,country_destination,declared_value_usd,invoice_value_usd,weight_kg,volume_m3,broker,port_of_entry,entry_date,accepted_date,release_date,duty_amount_usd,tax_amount_usd,broker_fee_usd,incoterm,license_required,license_obtained,fta_claimed,restricted_party_pass,container_number,slow_clearance
SHIP000195,22EMKIM435669,737199,ALUMINIUM SHEETS,ChemCorp Industries,GERMANY,GHANA,114798.47,164819.81,560.68,9.16,DHL GLOBAL FORWARDING,LAGOS,2025-12-21 23:35:56,2025-12-22 02:35:56,,26504.77,22608.52,211.94,EXW,N,N,EAC,Y,AMZN574760,N
SHIP000196,22EMKIM498378,871813,BRAKE SYSTEM,TechGlobal Ltd,CHINA,UGANDA,40744.67,51080.83,3487.7,0.73,KUEHNE NAGEL,MOMBASA,2026-04-20 23:35:56,2026-04-21 01:35:56,2026-04-21 01:35:56,6996.63,7638.61,213.04,DAP,N,N,SADC,N,AMZN184120,N
SHIP000197,22EMKIM451003,948702,MATTRESSES,AutoParts International,NIGERIA,SOUTH AFRICA,124323.68,123614.55,2610.48,19.64,DHL GLOBAL FORWARDING,CASABLANCA,2026-02-28 23:35:56,2026-03-01 03:35:56,2026-03-04 06:35:56,10801.36,21620.01,155.03,FOB,N,N,SADC,Y,AMZN595793,Y
SHIP000198,22EMKIM478146,859534,TELECOM EQUIPMENT,ChemCorp Industries,MOROCCO,UGANDA,54383.79,52574.77,2909.57,13.85,AGILITY LOGISTICS,CASABLANCA,2026-06-02 23:35:56,2026-06-03 03:35:56,2026-06-03 16:35:56,4220.73,9376.72,135.89,FOB,Y,Y,AFCFTA,Y,AMZN821846,N
SHIP000199,22EMKIM446945,402497,RUBBER SEALS,GreenEnergy Systems,INDIA,SOUTH AFRICA,9436.38,9083.3,3668.61,0.52,DHL GLOBAL FORWARDING,MOMBASA ICD,2026-08-12 23:35:56,2026-08-13 04:35:56,2026-08-14 21:35:56,581.6,1602.88,297.25,DAP,N,N,NONE,Y,AMZN496119,N
SHIP000200,22EMKIM400094,,RUBBER SEALS,TextileWorld Exports,COTE DIVOIRE,UGANDA,41289.095,82578.19,4098.9,10.88,DHL GLOBAL FORWARDING, DAR ES SALAAM ,2026-06-08 23:35:56,2026-06-09 02:35:56,2026-06-10 06:35:56,7607.02,14300.53,174.05,EXW,N,N,COMESA,Y,AMZN576136,N
SHIP000201,22EMKIM404099,856965,CABLE ASSEMBLY,AutoParts International,MALAYSIA,UGANDA,145090.89,191633.48,228.45,18.76,KUEHNE NAGEL,MOMBASA,2025-10-09 23:35:56,2025-10-10 04:35:56,2025-10-14 14:35:56,13200.43,25326.61,198.3,FOB,N,N,EAC,Y,AMZN287316,Y
SHIP000202,22EMKIM448374,707366,GLASS TUBES,MetalWorks Foundry,CHINA,SOUTH AFRICA,7838.3,7610.0,312.89,11.2,DHL GLOBAL FORWARDING,DAR ES SALAAM,2026-05-03 23:35:56,2026-05-04 00:35:56,2026-05-06 08:35:56,584.5,1347.65,283.47,CFR,N,N,EAC,Y,AMZN536158,Y
SHIP000203,22EMKIM460125,852153,BATTERY MODULE,Industrial Supply Co,CAMEROON,UGANDA,15633.16,15742.64,3833.75,11.57,DHL GLOBAL FORWARDING,ABIDJAN,2026-07-24 23:35:56,2026-07-25 04:35:56,2026-07-25 13:35:56,2262.91,2863.37,233.76,FOB,N,N,COMESA,Y,AMZN807256,N
SHIP000204,22EMKIM449160,877579,BRAKE SYSTEM,GreenEnergy Systems,MOROCCO,UGANDA,66730.32,65560.23,3045.98,11.31,KUEHNE NAGEL,ABIDJAN,2025-11-08 23:35:56,2025-11-09 04:35:56,2025-11-09 21:35:56,12490.04,12675.26,264.63,EXW,N,N,SADC,Y,AMZN324319,N
SHIP000205,22EMKIM412358,407505,RUBBER SHEETS,TextileWorld Exports,VIETNAM,TANZANIA,2937.22,2855.53,2786.05,18.53,EXPEDITORS INTERNATIONAL,ALEXANDRIA,2025-11-10 23:35:56,2025-11-11 00:35:56,2025-11-14 13:35:56,272.53,513.56,106.51,DDP,N,N,NONE,Y,AMZN262230,Y
SHIP000206,22EMKIM475534,625093,GARMENTS,ChemCorp Industries,TURKEY,KENYA,60269.84,58298.43,2980.2,6.08,DHL GLOBAL FORWARDING,DURBAN,2025-11-23 23:35:56,2025-11-24 02:35:56,2025-11-23 23:35:56,5501.75,10523.45,253.44,FOB,N,N,COMESA,Y,AMZN866288,N
SHIP000207,22EMKIM458407,628115,LINEN,Industrial Supply Co,TURKEY,GHANA,127496.99,176085.56,774.46,13.51,DHL GLOBAL FORWARDING,ALEXANDRIA,2025-10-12 23:35:56,2025-10-13 03:35:56,2025-10-14 17:35:56,8410.44,21745.19,234.74,CIF,N,N,NONE,Y,AMZN511967,N
SHIP000208,22EMKIM480739,397460,PACKAGING MATERIAL,MediCare Solutions,VIETNAM,TANZANIA,111924.6,111191.39,1982.64,11.47,KUEHNE NAGEL,CASABLANCA,2025-11-23 23:35:56,2025-11-24 00:35:56,2025-11-24 17:35:56,9501.67,19428.2,264.3,DAP,N,N,SADC,Y,AMZN688426,N
SHIP000209,22EMKIM489831,736298,WIRE PRODUCTS,Industrial Supply Co,TURKEY,UGANDA,55107.51,56593.66,233.94,16.38,KUEHNE NAGEL,CASABLANCA,2026-02-07 23:35:56,2026-02-08 04:35:56,2026-02-11 19:35:56,9198.85,10289.02,202.46,DAP,N,N,SADC,Y,AMZN309385,Y
SHIP000210,22EMKIM491104,841893,PUMP,PlastiPack Ltd,NIGERIA,NIGERIA,51819.07,50947.87,2748.51,12.5,DHL GLOBAL FORWARDING,CASABLANCA,2026-09-04 23:35:56,2026-09-05 03:35:56,2026-09-05 20:35:56,4508.29,9012.38,181.78,EXW,N,N,COMESA,Y,AMZN248213,N
SHIP000211,22EMKIM493020,941712,OFFICE CHAIRS,MediCare Solutions,MALAYSIA,UGANDA,92885.73,90761.53,1938.75,19.6,KUEHNE NAGEL,LAGOS,2025-09-20 23:35:56,2025-09-21 00:35:56,2025-09-23 00:35:56,8601.6,16237.97,249.02,CFR,N,N,EAC,Y,AMZN633243,Y
SHIP000212,22EMKIM436159,942442,MATTRESSES,AutoParts International,USA,KENYA,138989.32,138849.4,1188.66,19.57,EXPEDITORS INTERNATIONAL,TEMA,2025-11-28 23:35:56,2025-11-29 04:35:56,2025-12-02 06:35:56,12122.58,24177.9,105.51,EXW,N,N,NONE,Y,AMZN625600,Y
SHIP000213,22EMKIM485520,855590,SWITCHING DEVICE,MediCare Solutions,malaysia,KENYA,21020.47,21412.55,1653.13,10.89,kuehne nagel,CASABLANCA,2025-10-10 23:35:56,2025-10-11 04:35:56,2025-10-12 20:35:56,1928.28,3671.8,235.93,DDP,N,N,SADC,Y,AMZN316800,N
SHIP000214,22EMKIM439760,876062,BRAKE SYSTEM,MediCare Solutions,ETHIOPIA,SOUTH AFRICA,139987.98,146267.86,4401.86,8.34,KUEHNE NAGEL,LAGOS,2025-10-11 23:35:56,2025-10-12 00:35:56,2025-10-12 21:35:56,22655.48,26022.95,197.64,EXW,N,N,AFCFTA,Y,AMZN531228,N
SHIP000215,22EMKIM450785,393489,PACKAGING MATERIAL,Industrial Supply Co,GERMANY,GHANA,92733.5,90238.16,2349.13,13.03,BOLLORE LOGISTICS,MOMBASA,2025-11-02 23:35:56,2025-11-03 01:35:56,2025-11-04 16:35:56,4757.62,15598.58,219.87,DDP,N,N,SADC,Y,AMZN292913,N
SHIP000216,22EMKIM451662,857694,TELECOM EQUIPMENT,ChemCorp Industries,INDIA,GHANA,148242.39,145646.6,3679.31,7.67,DHL GLOBAL FORWARDING,ALEXANDRIA,2025-10-03 23:35:56,2025-10-04 04:35:56,2025-10-08 07:35:56,14194.87,25989.96,187.02,DDP,N,N,SADC,Y,AMZN428096,Y
SHIP000217,22EMKIM455372,941630,METAL FURNITURE,Industrial Supply Co,china,TANZANIA,78046.05,80115.52,3870.65,5.79,expeditors international,MOMBASA,2026-05-09 23:35:56,2026-05-10 04:35:56,2026-05-12 04:35:56,7658.63,13712.75,156.96,EXW,N,N,SADC,Y,AMZN274573,Y
SHIP000218,22EMKIM490664,878595,ENGINE COMPONENT,Industrial Supply Co,THAILAND,NIGERIA,116920.31,158238.76,4413.92,1.89,KUEHNE NAGEL,DURBAN,2026-06-11 23:35:56,2026-06-12 04:35:56,2026-06-13 21:35:56,22809.82,22356.82,176.83,CIF,N,N,COMESA,Y,AMZN439817,N
SHIP000219,22EMKIM423444,842494,INDUSTRIAL MACHINE,TextileWorld Exports,UAE,UGANDA,78810.69,77854.55,4314.74,3.33,EXPEDITORS INTERNATIONAL,PORT ELIZABETH,2026-07-30 23:35:56,2026-07-31 04:35:56,2026-08-01 09:35:56,5440.33,13480.16,330.48,CFR,N,N,NONE,Y,AMZN251631,N
SHIP000220,22EMKIM478802,405731,TYRES,Industrial Supply Co,TURKEY,UGANDA,93572.77,93979.82,2383.8,8.26,DHL GLOBAL FORWARDING,ALEXANDRIA,2026-09-10 23:35:56,2026-09-11 03:35:56,2026-09-15 09:35:56,4705.54,15724.53,282.41,CFR,N,N,AFCFTA,Y,AMZN183262,Y
SHIP000221,22EMKIM423254,704401,GLASS SHEETS,MediCare Solutions,UGANDA,TANZANIA,22233.48,21230.82,3502.24,11.49,DHL GLOBAL FORWARDING,ALEXANDRIA,2026-08-24 23:35:56,2026-08-25 02:35:56,2026-08-28 13:35:56,1575.19,3809.39,176.74,CFR,N,N,NONE,Y,AMZN689485,Y
SHIP000222,22EMKIM469330,845903,COMPRESSOR,GreenEnergy Systems,SOUTH AFRICA,GHANA,126574.79,131123.99,300.34,11.47,BOLLORE LOGISTICS,DURBAN,2026-02-05 23:35:56,2026-02-06 01:35:56,2026-02-10 11:35:56,8412.21,21597.92,303.44,DDP,N,N,AFCFTA,Y,AMZN759531,Y
SHIP000223,22EMKIM427175,397996,POLYTHENE BAGS,GreenEnergy Systems,JAPAN,KENYA,92336.35,89380.73,2329.78,15.95,DHL GLOBAL FORWARDING,ALEXANDRIA,2026-07-07 23:35:56,2026-07-08 03:35:56,2026-07-09 17:35:56,7430.33,15962.67,256.29,FOB,N,N,AFCFTA,Y,AMZN873291,N
SHIP000224,22EMKIM444294,624478,TEXTILE FABRIC,AgriTech Solutions,DRC,TANZANIA,118634.23,112775.26,4161.89,3.96,AGILITY LOGISTICS,ALEXANDRIA,2026-05-04 23:35:56,2026-05-05 04:35:56,2026-05-04 23:35:56,9999.89,20581.46,202.41,FOB,N,N,COMESA,Y,AMZN974329,N
SHIP000225,22EMKIM408678,878888,TYRES,AgriTech Solutions,SOUTH AFRICA,UGANDA,69639.28,71205.91,3999.68,17.77,DHL GLOBAL FORWARDING,ABIDJAN,2026-03-24 23:35:56,2026-03-25 04:35:56,2026-03-25 04:35:56,12643.03,13165.17,230.38,EXW,N,N,AFCFTA,Y,AMZN470771,N
SHIP000226,22EMKIM426489,943719,METAL FURNITURE,PlastiPack Ltd,VIETNAM,SOUTH AFRICA,105937.29,105906.09,883.31,7.55,DHL GLOBAL FORWARDING,MOMBASA,2026-04-07 23:35:56,2026-04-08 02:35:56,2026-04-10 03:35:56,6555.62,17998.87,217.79,EXW,N,N,NONE,Y,AMZN139211,Y
SHIP000227,22EMKIM411413,943524,MATTRESSES,GreenEnergy Systems,VIETNAM,KENYA,46898.63,45176.12,4662.36,13.77,DHL GLOBAL FORWARDING,NAIROBI,2025-12-17 23:35:56,2025-12-18 04:35:56,2025-12-18 07:35:56,4044.0,8150.82,218.91,EXW,N,N,COMESA,Y,AMZN723155,N
SHIP000228,22EMKIM445916,,POLYTHENE BAGS,ChemCorp Industries,THAILAND,NIGERIA,30483.05,31004.69,2802.53,2.14,DHL GLOBAL FORWARDING,ALEXANDRIA,2026-03-31 23:35:56,2026-04-01 02:35:56,2026-04-05 19:35:56,1939.72,5187.64,173.62,DDP,N,N,EAC,Y,AMZN668882,Y
SHIP000229,22EMKIM446612,,GLASS BOTTLES,Industrial Supply Co,TURKEY,TANZANIA,66825.32,84430.45,4182.51,14.02,DHL GLOBAL FORWARDING,ALEXANDRIA,2025-12-09 23:35:56,2025-12-10 00:35:56,,4766.2,11454.64,176.85,CFR,N,N,COMESA,Y,AMZN746253,Y
SHIP000230,22EMKIM442567,848629,GENERATOR,MediCare Solutions,THAILAND,NIGERIA,68609.83,71679.76,924.93,18.35,DHL GLOBAL FORWARDING,CASABLANCA,2026-07-24 23:35:56,2026-07-25 03:35:56,2026-07-26 22:35:56,3923.53,11605.34,284.36,DAP,N,N,NONE,Y,AMZN446373,N
SHIP000231,22EMKIM450307,,LINEN,MediCare Solutions,CHINA,GHANA,86414.4,87705.88,3108.17,11.0,DHL GLOBAL FORWARDING,ALEXANDRIA,2025-11-06 23:35:56,2025-11-07 00:35:56,2025-11-08 02:35:56,7744.59,15065.44,229.91,CIF,N,N,SADC,Y,AMZN605806,N
SHIP000232,22EMKIM478172,738132,WIRE PRODUCTS,GreenEnergy Systems,INDIA,KENYA,99560.53,99191.24,357.34,2.26,DHL GLOBAL FORWARDING,ALEXANDRIA,2026-06-15 23:35:56,2026-06-16 00:35:56,2026-06-20 13:35:56,20460.56,19203.37,273.3,DAP,N,N,AFCFTA,Y,AMZN953610,Y
SHIP000233,22EMKIM494082,844565,PUMP,PlastiPack Ltd,SOUTH AFRICA,GHANA,113683.12,114996.98,1529.71,18.87,DHL GLOBAL FORWARDING,MOMBASA ICD,2026-09-11 23:35:56,2026-09-12 04:35:56,2026-09-13 05:35:56,8225.88,19505.44,180.85,CFR,N,N,NONE,Y,AMZN555844,N
SHIP000234,22EMKIM427684,947622,MATTRESSES,ChemCorp Industries,USA,NIGERIA,105651.44,109514.9,1920.12,7.69,AGILITY LOGISTICS,MOMBASA,2026-09-11 23:35:56,2026-09-12 00:35:56,2026-09-12 23:35:56,6525.25,17948.27,310.67,CFR,N,N,SADC,Y,AMZN671598,N
SHIP000235,22EMKIM459558,736902,PIPES,MediCare Solutions,THAILAND,UGANDA,2234.61,2340.75,3026.1,8.57,DHL GLOBAL FORWARDING,LAGOS,2026-07-05 23:35:56,2026-07-06 03:35:56,2026-07-06 10:35:56,365.53,416.02,170.58,CFR,N,N,SADC,Y,AMZN288531,N
SHIP000236,22EMKIM410494,624698,GARMENTS,ElectroTech Manufacturing,MOZAMBIQUE,TANZANIA,127097.18,127683.94,574.69,9.68,DHL GLOBAL FORWARDING,DAR ES SALAAM,2025-12-30 23:35:56,2025-12-31 02:35:56,2026-01-01 09:35:56,8686.9,21725.45,296.74,EXW,N,N,COMESA,Y,AMZN824038,N
SHIP000237,22EMKIM475230,398617,POLYTHENE BAGS,Industrial Supply Co,THAILAND,SOUTH AFRICA,37162.08,37307.74,2349.66,10.3,BOLLORE LOGISTICS,DAR ES SALAAM,2026-07-28 23:35:56,2026-07-29 00:35:56,2026-07-30 19:35:56,2935.11,6415.55,353.26,FOB,N,N,NONE,Y,AMZN592025,N
SHIP000238,22EMKIM436418,395738,PACKAGING MATERIAL,TechGlobal Ltd,JAPAN,UGANDA,109182.27,109977.77,421.73,10.16,DHL GLOBAL FORWARDING,DAR ES SALAAM,2026-04-09 23:35:56,2026-04-10 03:35:56,,9042.04,18915.89,193.76,DAP,N,N,COMESA,Y,AMZN992805,N
SHIP000239,22EMKIM450222,852827,CABLE ASSEMBLY,MediCare Solutions,TURKEY,NIGERIA,99043.77,136863.36,4189.69,15.08,DHL GLOBAL FORWARDING,NAIROBI,2026-06-26 23:35:56,2026-06-27 03:35:56,2026-06-30 05:35:56,5279.93,16691.79,297.61,CIF,N,N,AFCFTA,Y,AMZN533007,Y
SHIP000240,22EMKIM489505,306653,MEDICINAL PREPARATIONS,AgriTech Solutions,MOROCCO,SOUTH AFRICA,25556.26,26081.72,1916.2,6.38,KUEHNE NAGEL,MOMBASA,2026-08-16 23:35:56,2026-08-17 01:35:56,2026-08-18 11:35:56,2490.69,4487.51,171.77,DAP,N,N,SADC,Y,AMZN656011,N
SHIP000241,22EMKIM453903,,METAL FABRICATIONS,ChemCorp Industries,ZAMBIA,KENYA,98324.32,99196.7,3367.28,16.65,DHL GLOBAL FORWARDING,MOMBASA,2026-05-04 23:35:56,2026-05-05 01:35:56,2026-05-06 20:35:56,16665.24,18398.33,200.61,FOB,N,N,AFCFTA,Y,AMZN112542,N
SHIP000242,22EMKIM438609,305641,ANTIBIOTICS,AutoParts International,ZAMBIA,KENYA,140806.57,135455.6,4481.05,13.94,KUEHNE NAGEL,MOMBASA,2026-08-13 23:35:56,2026-08-14 00:35:56,2026-08-15 15:35:56,19099.58,25584.98,169.49,CIF,N,N,COMESA,Y,AMZN365641,N
SHIP000243,22EMKIM456525,397995,PLASTIC COMPONENTS,ChemCorp Industries,VIETNAM,GHANA,116677.34,120327.02,3230.96,2.26,KUEHNE NAGEL,MOMBASA,2026-04-23 23:35:56,2026-04-24 00:35:56,2026-04-24 22:35:56,6871.88,19767.88,160.41,CIF,N,N,AFCFTA,Y,AMZN666893,N
SHIP000244,22EMKIM457154,392692,PLASTIC SHEETS,Industrial Supply Co,VIETNAM,SOUTH AFRICA,3305.34,3359.75,3540.95,15.44,KUEHNE NAGEL,ALEXANDRIA,2026-01-26 23:35:56,2026-01-27 00:35:56,2026-01-28 18:35:56,209.3,562.34,255.01,DDP,N,N,SADC,Y,AMZN601365,N
SHIP000245,22EMKIM438005,849849,PUMP,TechGlobal Ltd,JAPAN,GHANA,85302.96,84455.17,411.48,9.25,BOLLORE LOGISTICS,CASABLANCA,2026-07-11 23:35:56,2026-07-12 02:35:56,2026-07-12 23:35:56,6961.88,14762.37,439.71,EXW,N,N,EAC,Y,AMZN903741,N
SHIP000246,22EMKIM458891,305896,SURGICAL SUPPLIES,Industrial Supply Co,MOZAMBIQUE,UGANDA,13186.94,13476.71,1545.58,10.73,DHL GLOBAL FORWARDING,PORT ELIZABETH,2026-01-05 23:35:56,2026-01-06 00:35:56,2026-01-06 09:35:56,1441.26,2340.51,223.38,CFR,N,N,EAC,Y,AMZN974774,N
SHIP000247,22EMKIM401882,732936,ALUMINIUM SHEETS,AgriTech Solutions,CHINA,KENYA,130594.9,124546.76,238.55,14.06,DHL GLOBAL FORWARDING,TEMA,2025-09-29 23:35:56,2025-09-30 01:35:56,2025-10-01 14:35:56,21438.33,24325.32,248.07,DDP,N,N,SADC,Y,AMZN236878,N
SHIP000248,22EMKIM427948,848474,GENERATOR,MediCare Solutions,VIETNAM,SOUTH AFRICA,17569.86,22852.42,2884.08,2.83,KUEHNE NAGEL,DURBAN,2026-07-19 23:35:56,2026-07-20 01:35:56,2026-07-21 16:35:56,1174.85,2999.15,275.38,CFR,N,N,SADC,Y,AMZN977057,N
SHIP000249,22EMKIM492633,,PVC FILM,MediCare Solutions,EGYPT,KENYA,66079.85,68375.24,41.68,3.67,KUEHNE NAGEL,ABIDJAN,2026-06-19 23:35:56,2026-06-20 01:35:56,2026-06-20 03:35:56,5327.49,11425.17,266.65,FOB,N,N,EAC,Y,AMZN193471,N
SHIP000250,22EMKIM412541,874377,TYRES,AgriTech Solutions,VIETNAM,UGANDA,36268.44,49868.09,2792.97,3.92,KUEHNE NAGEL,CASABLANCA,2026-02-13 23:35:56,2026-02-14 04:35:56,2026-02-16 03:35:56,8886.85,7224.85,244.08,FOB,N,N,NONE,Y,AMZN655953,Y
SHIP000251,22EMKIM459394,944592,WOODEN FURNITURE,AgriTech Solutions,CHINA,TANZANIA,29460.99,28458.61,1264.4,12.37,DHL GLOBAL FORWARDING,CASABLANCA,2026-08-15 23:35:56,2026-08-16 03:35:56,2026-08-17 20:35:56,2832.19,5166.91,158.1,DAP,N,N,NONE,Y,AMZN895248,N
SHIP000252,22EMKIM428922,873589,MOTOR VEHICLE PARTS,PharmaLife Sciences,,KENYA,108349.76,153771.4,3691.36,17.41,DHL GLOBAL FORWARDING,DURBAN,2026-05-14 23:35:56,2026-05-15 03:35:56,2026-05-15 21:35:56,19781.25,20500.96,266.85,CIF,N,N,NONE,Y,AMZN493774,N
SHIP000253,22EMKIM499659,733374,ALUMINIUM SHEETS,PlastiPack Ltd,malaysia,KENYA,20892.49,20270.33,4259.74,9.23,dhl global forwarding,CAPE TOWN,2026-03-04 23:35:56,2026-03-05 02:35:56,2026-03-06 17:35:56,3399.65,3886.74,253.83,FOB,N,N,EAC,Y,AMZN279517,N
SHIP000254,22EMKIM419525,703784,MIRRORS,MetalWorks Foundry,INDIA,NIGERIA,128617.58,128138.65,2901.54,17.85,DHL GLOBAL FORWARDING,DURBAN,2026-02-13 23:35:56,2026-02-14 04:35:56,2026-02-14 14:35:56,6524.15,21622.68,214.22,DAP,N,N,AFCFTA,Y,AMZN720517,N
SHIP000255,22EMKIM462886,858711,CABLE ASSEMBLY,TechGlobal Ltd,SOUTH AFRICA,TANZANIA,121552.62,174825.45,1202.92,19.98,PANALPINA,CAPE TOWN,2026-01-09 23:35:56,2026-01-10 01:35:56,2026-01-14 14:35:56,14503.17,21768.93,301.65,EXW,N,N,AFCFTA,Y,AMZN116703,Y
SHIP000256,22EMKIM471098,701399,GLASS TUBES,PharmaLife Sciences,THAILAND,UGANDA,28149.39,26745.76,2135.25,5.47,DHL GLOBAL FORWARDING,NAIROBI,2026-02-16 23:35:56,2026-02-17 03:35:56,2026-02-18 17:35:56,2290.38,4870.36,207.73,EXW,N,N,NONE,Y,AMZN742254,N
SHIP000257,22EMKIM414884,706500,GLASS SHEETS,MetalWorks Foundry,NIGERIA,TANZANIA,133252.7,131461.4,700.64,6.77,BOLLORE LOGISTICS,MOMBASA ICD,2026-03-09 23:35:56,2026-03-10 03:35:56,2026-03-11 00:35:56,7830.38,22573.29,339.7,CIF,N,N,EAC,Y,AMZN665847,N
SHIP000258,22EMKIM408601,304693,ANTIBIOTICS,GreenEnergy Systems,INDIA,UGANDA,63727.9,63537.76,4001.52,18.91,DHL GLOBAL FORWARDING,ABIDJAN,2025-09-28 23:35:56,2025-09-29 04:35:56,2025-09-30 09:35:56,6576.11,11248.64,273.81,EXW,Y,Y,NONE,Y,AMZN948083,N
SHIP000259,22EMKIM424780,733929,METAL FABRICATIONS,Industrial Supply Co,NIGERIA,SOUTH AFRICA,104713.78,99715.69,2224.86,12.93,PANALPINA,ALEXANDRIA,2026-07-16 23:35:56,2026-07-17 04:35:56,2026-07-17 14:35:56,20068.78,19965.21,370.6,DAP,N,N,AFCFTA,Y,AMZN405677,N
SHIP000260,22EMKIM419443,946503,WOODEN FURNITURE,PlastiPack Ltd,VIETNAM,KENYA,89206.91,89806.84,4853.91,15.42,DHL GLOBAL FORWARDING,ALEXANDRIA,2026-01-06 23:35:56,2026-01-07 03:35:56,2026-01-08 12:35:56,8466.99,15627.82,195.97,EXW,N,N,NONE,Y,AMZN149617,N
SHIP000261,22EMKIM419391,879770,BATTERY,MediCare Solutions,USA,NIGERIA,135754.32,203420.15,3538.6,13.34,DHL GLOBAL FORWARDING,NAIROBI,2025-09-22 23:35:56,2025-09-23 01:35:56,2025-09-23 11:35:56,28162.58,26226.7,216.13,DDP,N,N,NONE,Y,AMZN460549,N
SHIP000262,22EMKIM490327,392990,PLASTIC SHEETS,ElectroTech Manufacturing,CHINA,NIGERIA,139207.79,142067.83,3645.43,18.45,DHL GLOBAL FORWARDING,LAGOS,2026-01-20 23:35:56,2026-01-21 04:35:56,2026-01-25 20:35:56,10258.99,23914.68,193.47,DDP,N,N,COMESA,Y,AMZN455136,Y
SHIP000263,22EMKIM451697,942914,OFFICE CHAIRS,TechGlobal Ltd,GHANA,KENYA,53930.34,52431.85,3388.55,19.16,BOLLORE LOGISTICS,ALEXANDRIA,2026-01-26 23:35:56,2026-01-27 01:35:56,2026-01-28 15:35:56,5219.55,9463.98,269.48,DAP,N,N,EAC,Y,AMZN636648,N
SHIP000264,22EMKIM418293,856915,SOLAR PANEL,MediCare Solutions,CAMEROON,SOUTH AFRICA,58223.84,83374.4,4852.1,8.53,DHL GLOBAL FORWARDING,CAPE TOWN,2026-03-06 23:35:56,2026-03-07 04:35:56,2026-03-08 05:35:56,5497.61,10195.43,298.89,CFR,Y,Y,SADC,Y,AMZN534313,N
SHIP000265,22EMKIM439582,409606,RUBBER HOSES,Industrial Supply Co,TURKEY,TANZANIA,13723.02,13671.04,1454.42,9.86,KUEHNE NAGEL,DAR ES SALAAM,2026-03-03 23:35:56,2026-03-04 03:35:56,2026-03-04 18:35:56,1075.83,2367.82,287.23,DAP,N,N,AFCFTA,Y,AMZN962767,N
SHIP000266,22EMKIM482312,301439,MEDICINAL PREPARATIONS,MediCare Solutions,SENEGAL,TANZANIA,98245.04,141588.75,2407.62,8.78,DHL GLOBAL FORWARDING,CASABLANCA,2026-07-10 23:35:56,2026-07-11 01:35:56,2026-07-12 08:35:56,9756.23,17280.2,295.59,DDP,N,N,COMESA,Y,AMZN370439,N
SHIP000267,22EMKIM425403,629397,TEXTILE YARN,TechGlobal Ltd,EGYPT,UGANDA,9247.3,8833.84,2652.77,18.73,DHL GLOBAL FORWARDING,LAGOS,2025-11-18 23:35:56,2025-11-19 01:35:56,2025-11-20 21:35:56,629.35,1580.26,245.44,EXW,N,N,NONE,Y,AMZN638828,N
SHIP000268,22EMKIM424696,946285,OFFICE CHAIRS,AgriTech Solutions,INDIA,UGANDA,104846.14,101110.66,521.07,3.18,DHL GLOBAL FORWARDING,CASABLANCA,2025-09-26 23:35:56,2025-09-27 04:35:56,2025-10-01 19:35:56,5960.24,17729.02,192.21,CIF,N,N,SADC,Y,AMZN331854,Y
SHIP000269,22EMKIM416870,942867,WOODEN FURNITURE,PharmaLife Sciences,CAMEROON,TANZANIA,138549.76,137745.31,153.51,16.31,KUEHNE NAGEL,DURBAN,2026-07-06 23:35:56,2026-07-07 02:35:56,2026-07-07 20:35:56,13768.95,24370.99,228.47,EXW,N,N,NONE,Y,AMZN333159,N
SHIP000270,22EMKIM416225,303133X,MEDICINAL PREPARATIONS,ElectroTech Manufacturing,INDIA,UGANDA,3311.56,4685.68,3341.26,15.12,DHL GLOBAL FORWARDING,DURBAN,2026-08-03 23:35:56,2026-08-04 00:35:56,2026-08-04 13:35:56,362.01,587.77,220.36,EXW,N,N,NONE,Y,AMZN920375,N
SHIP000271,22EMKIM470402,621479,TEXTILE FABRIC,MediCare Solutions,MOROCCO,TANZANIA,52501.56,52870.31,965.82,5.71,DHL GLOBAL FORWARDING,CASABLANCA,2025-11-19 23:35:56,2025-11-20 04:35:56,2025-11-24 15:35:56,2885.24,8861.89,236.72,CFR,N,N,EAC,Y,AMZN890645,Y
SHIP000272,22EMKIM492370,948777,OFFICE CHAIRS,TextileWorld Exports,INDIA,KENYA,143683.29,143888.05,2603.44,9.97,AGILITY LOGISTICS,TEMA,2025-10-02 23:35:56,2025-10-03 03:35:56,2025-10-03 23:35:56,10112.27,24607.29,328.42,FOB,N,N,NONE,Y,AMZN478798,N
SHIP000273,22EMKIM488092,402895,CONVEYOR BELTS,ChemCorp Industries,TURKEY,NIGERIA,54109.46,108218.92,904.69,19.97,KUEHNE NAGEL,NAIROBI,2026-04-05 23:35:56,2026-04-06 04:35:56,2026-04-06 15:35:56,7369.24,17693.23,278.52,EXW,N,N,SADC,Y,AMZN615530,N
SHIP000274,22EMKIM476273,842953,PUMP,ElectroTech Manufacturing,UK,KENYA,111344.11,107993.61,3628.75,5.64,DHL GLOBAL FORWARDING,DAR ES SALAAM,2026-07-21 23:35:56,2026-07-22 00:35:56,2026-07-22 11:35:56,6682.11,18884.2,276.6,DAP,N,N,SADC,Y,AMZN848152,N
